대학교,개설연도,과목명,개설학과,교양영역,학점,수강인원,강의설명
KAIST,2023,논리적 글쓰기,한국어,,,,
KAIST,2023,창의적 글쓰기,한국어,,,,
KAIST,2023,초급 한국어1,한국어,,,,
KAIST,2023,한국어3,한국어,,,,
KAIST,2023,Advanced English Listening,영어,,,,
KAIST,2023,Advanced English Reading,영어,,,,
KAIST,2023,Advanced English Writing,영어,,,,
KAIST,2023,English Presentation & Discussion,영어,,,,
KAIST,2023,골프,체육,,,,
KAIST,2023,농구,체육,,,,
KAIST,2023,댄스스포츠,체육,,,,
KAIST,2023,발레핏,체육,,,,
KAIST,2023,배드민턴,체육,,,,
KAIST,2023,수영,체육,,,,
KAIST,2023,고급수영,체육,,,,
KAIST,2023,체력육성,체육,,,,
KAIST,2023,체육자격증,체육,,,,
KAIST,2023,축구와 풋살,체육,,,,
KAIST,2023,코어운동,체육,,,,
KAIST,2023,테니스,체육,,,,
KAIST,2023,고전라틴어,인문,,,,
KAIST,2023,고전문학과 철학,인문,,,,
KAIST,2023,과학사,인문,,,,
KAIST,2023,"근현대미국사,",인문,,,,
KAIST,2023,논리학,인문,,,,
KAIST,2023,"논리학과 인공지능,",인문,,,,
KAIST,2023,독일어권 문화이해,인문,,,,
KAIST,2023,동양문화사,인문,,,,
KAIST,2023,동양철학입문,인문,,,,
KAIST,2023,분석철학,인문,,,,
KAIST,2023,사회언어학개론,인문,,,,
KAIST,2023,서양문명의 기원 세계문화특강,인문,,,,
KAIST,2023,수학철학,인문,,,,
KAIST,2023,심리철학,인문,,,,
KAIST,2023,언어의 이해,인문,,,,
KAIST,2023,언어학특강,인문,,,,
KAIST,2023,역사학특강,인문,,,,
KAIST,2023,영어와 미국문화,인문,,,,
KAIST,2023,영어의 구조와 문법,인문,,,,
KAIST,2023,외국인을 위한 한국역사와 문화,인문,,,,
KAIST,2023,외국인을 위한 한국학특강,인문,,,,
KAIST,2023,윤리학,인문,,,,
KAIST,2023,종교학의 이해,인문,,,,
KAIST,2023,중세이후의 서양문명,인문,,,,
KAIST,2023,철학특강,인문,,,,
KAIST,2023,철학개론,인문,,,,
KAIST,2023,한국근대의 재발견,인문,,,,
KAIST,2023,한국근현대사,인문,,,,
KAIST,2023,한국문화사,인문,,,,
KAIST,2023,한국사상사,인문,,,,
KAIST,2023,한국사회경제사,인문,,,,
KAIST,2023,한글·문자·문명,인문,,,,
KAIST,2023,환경주의:역사학적개론,인문,,,,
KAIST,2023,경제와 법,사회,,,,
KAIST,2023,경제학개론,사회,,,,
KAIST,2023,경제학특강,사회,,,,
KAIST,2023,과학기술사회학,사회,,,,
KAIST,2023,국제개발의 지리,사회,,,,
KAIST,2023,도시·지역개발의 이해,사회,,,,
KAIST,2023,동아시아 지정학의 이해,사회,,,,
